,,,,What?,,,,Who?,,,,How?,,,,,
Batch #,Brand,Status,"Launch
Date",Ad Concept (Inspo),What are you creating/testing and what gives you the confidence this test will improve overall performance?,Ad Type,"Ad Variable
(of iteration)",Desire,"Benefit
Focus on pain points and objections to determine which benefits to highlight.
Example: If the persona fears damage, emphasize non-damaging, lightweight design, and scalp comfort.",Objections,Persona,"Positioning
- How do we position the concept vid/img","Positioning How?
- How do we position the concept vid/img","Hook Pattern
- Desribe how the hook will look like
- ",Results,"All Winning Ads
or
Best Performing Ad",Link to Brief
Batch 001 ,Grounding.co,Planned,TBD,,,,,,,,Persona 1,,,,,,
Batch 002 ,Grounding.co,Planned,1/10/25,,,,,,,,Persona 2,,,,,,
Batch 003,Grounding.co,Planned,1/11/25,,,,,,,,Persona 3,,,,,,
Batch 004,Grounding.co,Planned,1/12/25,,,,,,,,,,,,,,
Batch 005,Grounding.co,Planned,1/13/25,,,,,,,,Persona 1,,,,,,
Batch 006,Grounding.co,Planned,1/14/25,,,,,,,,Persona 3,,,,,,
Batch 007,Grounding.co,Planned,1/15/25,,,,,,,,,,,,,,
Batch 008,Grounding.co,Planned,1/16/25,,,,,,,,,,,,,,
Batch 009,Grounding.co,Planned,1/17/25,,,,,,,,,,,,,,
Batch 010,Grounding.co,Planned,1/18/25,,,,,,,,,,,,,,
Batch 011,Grounding.co,Planned,1/19/25,,,,,,,,,,,,,,
Batch 012,Grounding.co,Planned,1/20/25,,,,,,,,,,,,,,
Batch 013,Grounding.co,Planned,1/21/25,,,,,,,,,,,,,,
Batch 014,,,,,,,,,,,,,,,,,
Batch 015,,,,,,,,,,,,,,,,,
Batch 016,,,,,,,,,,,,,,,,,
Batch 017,,,,,,,,,,,,,,,,,
Batch 018,,,,,,,,,,,,,,,,,
Batch 019,,,,,,,,,,,,,,,,,
Batch 020,,,,,,,,,,,,,,,,,
Batch 021,,,,,,,,,,,,,,,,,
Batch 022,,,,,,,,,,,,,,,,,
Batch 023,,,,,,,,,,,,,,,,,
Batch 024,,,,,,,,,,,,,,,,,
Batch 025,,,,,,,,,,,,,,,,,
Batch 026,,,,,,,,,,,,,,,,,
Batch 027,,,,,,,,,,,,,,,,,
Batch 028,,,,,,,,,,,,,,,,,
Batch 029,,,,,,,,,,,,,,,,,
Batch 030,,,,,,,,,,,,,,,,,